the, el
be, ser
to, a
of, de
and, y
a, un
in, en
that, que
have, tener
i, yo
it, le
for, para
not, mo
on, al
with, con
he, el
as, como
yo, usted
do, hacer
at, en
this, este
but, pero
his, su
by, por
from, desde
they, ellos
we, nos
say, decir
her, su
she, ella
or, o
an, un
will, legar
my, mi
one, uno
all, todos
would, expresar
there, alli
their, sus
what, cuanto
so, tan
up, hasta
out, fuera
if, si
about, sobre
who, que
get, obtener
which, que
go, ir
me, mi
when, cuando
make, hacer
can, lata
like, como
time, tiempo,
no, no
just, solo
him, lo
know, saber
take, tomar
people, personas
into, en
year, ano
your, su
good, bueno
some, algunos
could, podria
them, les
see, ver
other, otro
than, de
then, entonces
now, ahora
took, busear
only, solo
come, venir
its, su
over, per
think, penser
also, tambien
back, espalda
after, despues
use, utilizer
two, dos
how, como
our, nuestro
work, trabajar
first, primero
well, bien
wan, manera
even, incluso
new, nuevo
want, querer
because, porque
any, cualquier
these, estas
give, dar
day, dia
most, mas
us, nosotros

